site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K
ST1,Stable,ST1 S1,clear,1.5,2023-07-11,12:30:22,12:33:25,2023-07-11 12:31:00,2023-07-11 12:33:15,35.55,<0.0001,0.000005,HMR,-22.26,<0.0001,0.0016,LM,28.06,301.2
ST1,Stable,ST1 S1,dark,1.5,2023-07-11,12:34:39,12:37:39,2023-07-11 12:35:00,2023-07-11 12:37:30,38.23,<0.0001,0.000002,LM,17.63,<0.0001,0.0025,LM,28.06,301.2
ST1,Stable,ST1 S1,soil,pvc,2023-07-11,11:52:53,11:55:08,2023-07-11 11:53:00,2023-07-11 11:55:00,14.44,<0.0001,0.000007,HMR,-1.04,<0.0001,0.0051,LM,28.06,301.2
ST1,Stable,ST1 S2,clear,1.5,2023-07-11,10:23:16,10:27:09,2023-07-11 10:23:30,2023-07-11 10:27:00,25.17,<0.0001,0.000000,HMR,-50.53,<0.0001,0.0165,HMR,28.06,301.2
ST1,Stable,ST1 S2,dark,1.5,2023-07-11,10:28:31,10:31:32,2023-07-11 10:28:45,2023-07-11 10:31:30,-0.61,<0.0001,0.000000,LM,62.44,<0.0001,0.0201,HMR,28.06,301.2
ST1,Stable,ST1 S2,soil,pvc,2023-07-11,10:14:32,10:17:32,2023-07-11 10:15:00,2023-07-11 10:17:30,-1.33,<0.0001,0.000000,LM,1.91,<0.0001,0.0019,LM,28.06,301.2
ST1,Stable,ST1 S3,clear,1.5,2023-07-11,11:43:17,11:46:02,2023-07-11 11:43:45,2023-07-11 11:46:00,15.02,<0.0001,0.000002,HMR,-14.91,<0.0001,0.0051,LM,28.06,301.2
ST1,Stable,ST1 S3,dark,1.5,2023-07-11,11:46:50,11:50:13,2023-07-11 11:47:00,2023-07-11 11:50:00,10.85,<0.0001,0.000000,LM,9.05,<0.0001,0.0035,LM,28.06,301.2
ST1,Stable,ST1 S3,soil,pvc,2023-07-11,11:37:50,11:40:50,2023-07-11 11:38:00,2023-07-11 11:40:45,12.28,<0.0001,0.000000,LM,-5.45,<0.0001,0.0015,LM,28.06,301.2
ST1,Unstable,ST1 U1,clear,1.5,2023-07-11,11:26:11,11:29:16,2023-07-11 11:26:30,2023-07-11 11:29:15,21.32,<0.0001,0.000002,HMR,-17.28,<0.0001,0.0046,LM,28.06,301.2
ST1,Unstable,ST1 U1,dark,1.5,2023-07-11,11:30:32,11:33:34,2023-07-11 11:30:45,2023-07-11 11:33:30,12.54,<0.0001,0.000001,HMR,12.83,<0.0001,0.0048,LM,28.06,301.2
ST1,Unstable,ST1 U1,soil,pvc,2023-07-11,11:19:59,11:22:59,2023-07-11 11:20:15,2023-07-11 11:22:45,17.78,<0.0001,0.000003,HMR,2.73,<0.0001,0.0092,HMR,28.06,301.2
ST1,Unstable,ST1 U2,clear,1.5,2023-07-11,9:56:00,9:59:00,2023-07-11 09:57:30,2023-07-11 09:59:00,31.97,<0.0001,0.000001,HMR,-11.13,0.00,0.0170,LM,28.06,301.2
ST1,Unstable,ST1 U2,dark,1.5,2023-07-11,10:02:47,10:06:45,2023-07-11 10:03:00,2023-07-11 10:06:30,26.56,<0.0001,0.000001,LM,18.43,<0.0001,0.0035,LM,28.06,301.2
ST1,Unstable,ST1 U2,soil,pvc,2023-07-11,9:47:41,9:50:00,2023-07-11 09:47:45,2023-07-11 09:50:00,43.98,<0.0001,0.000005,HMR,6.97,<0.0001,0.0019,LM,28.06,301.2
ST1,Unstable,ST1 U3,clear,1.5,2023-07-11,10:51:51,10:54:07,2023-07-11 10:52:00,2023-07-11 10:54:00,0.05,0.792,0.000001,LM,-11.01,<0.0001,0.0108,LM,28.06,301.2
ST1,Unstable,ST1 U3,dark,1.5,2023-07-11,10:56:20,10:59:20,2023-07-11 10:56:30,2023-07-11 10:59:15,4.41,<0.0001,0.000000,LM,13.62,<0.0001,0.0051,LM,28.06,301.2
ST1,Unstable,ST1 U3,soil,pvc,2023-07-11,10:43:51,10:47:22,2023-07-11 10:44:00,2023-07-11 10:47:15,36.33,<0.0001,0.000004,HMR,9.42,<0.0001,0.0152,HMR,28.06,301.2
ST2,Stable,ST2 S1,clear,1.5,2023-07-11,13:51:23,13:54:27,2023-07-11 13:51:45,2023-07-11 13:54:15,60.52,<0.0001,0.000008,HMR,-40.82,<0.0001,0.0032,LM,28.06,301.2
ST2,Stable,ST2 S1,dark,1.5,2023-07-11,13:55:42,13:58:44,2023-07-11 13:56:00,2023-07-11 13:58:30,23.04,<0.0001,0.000002,HMR,44.45,<0.0001,0.0036,LM,28.06,301.2
ST2,Stable,ST2 S1,soil,pvc,2023-07-11,13:43:51,13:46:51,2023-07-11 13:44:15,2023-07-11 13:46:45,4.16,<0.0001,0.000002,HMR,5.48,<0.0001,0.0062,LM,28.06,301.2
